original_sentence,orig_sent_id,changed_sentence,changed_sent_id,original_file_name,orig_ann,changed_ann
Його редактором був поет-символіст Яків Савченко .,46,Його редакторкою була поетеса-символістка Анжела Савченко .,46,e5e76a8efa0f.txt,"{'T30': ('поет-символіст', 'JOB')}","{'T30': ('поетеса-символістка', 'JOB')}"
Міжпредметні паралелі . Маніфест футуристів склав італійський поет Філіппо Марінетті . оприлюднивши його у паризькій газеті « Фігаро » 1909 року .,62,Міжпредметні паралелі . Маніфест футуристок склала італійська поетеса Олександра Марінетті . оприлюднивши його у паризькій газеті « Фігаро » 1909 року .,62,e5e76a8efa0f.txt,"{'T49': ('поет', 'JOB')}","{'T49': ('поетеса', 'JOB')}"
"Помітною була організація « Гарт » ( 1923 — 1925 ) , назву якої утворено від слова « гартованці » , запозиченого з роману Володимира Винниченка « Божки » , в якому так називалося товариство робітників . « Гарт » очолив відомий поет Василь Еллан-Блакитний .",96,"Помітною була організація « Гарт » ( 1923 — 1925 ) , назву якої утворено від слова « гартованці » , запозиченого з роману Олени Винниченко « Божки » , в якому так називалося товариство робітників . « Гарт » очолила відома поетка Любов Еллан-Блакитна .",96,e5e76a8efa0f.txt,"{'T104': ('поет', 'JOB')}","{'T104': ('поетка', 'JOB')}"
Її очолив байкар і прозаїк Сергій Пилипенко .,127,Її очолила байкарка і прозаїкиня Марія Пилипенко .,127,e5e76a8efa0f.txt,"{'T143': ('байкар', 'JOB'), 'T144': ('прозаїк', 'JOB')}","{'T143': ('байкарка', 'JOB'), 'T144': ('прозаїкиня', 'JOB')}"
"У Галицько-Волинському літописі згадується співець Митуса , який загинув , але поглядів своїх не зрікся , і його пісня залишилася в пам'яті народу .",171,"У Галицько-Волинському літописі згадується співчиня Митусиха , яка загинула , але поглядів своїх не зріклася , і її пісня залишилася в пам'яті народу .",171,e5e76a8efa0f.txt,"{'T218': ('співець', 'JOB')}","{'T218': ('співчиня', 'JOB')}"
"« Празька школа » — так називають українських поетів міжвоєнного двадцятиліття , що творили у Празі та Подєбрадах ( Юрій Дараган , Леонід Мосендз , Євген Маланюк , Олекса Стефанович , Олег Ольжич , Олена Теліга , Галя Мазуренко , Оксана Лятуринська , Іван Ірлявський та інші ) .",183,"« Празька школа » — так називають українських поетес міжвоєнного двадцятиліття , що творили у Празі та Подєбрадах ( Світлана Дараган , Світлана Мосендз , Сергій Маланюк , Світлана Стефанович , Юрій Ольжич , Юрій Теліга , Вікторія Мазуренко , Вікторія Лятуринська , Сергій Ірлявський та інші ) .",183,e5e76a8efa0f.txt,"{'T233': ('поетів', 'JOB')}","{'T233': ('поетес', 'JOB')}"
"Значну роль у розвитку української літератури відіграли письменники , які мешкали у Варшаві . Євген Маланюк , Наталя Лівицька-Холодна 1929 року об'єдналися в групу « Танк » , згодом до неї увійшли Леонід Мосендз , Павло Чирський , Павло Зайцев , Юрій Липа та інші .",187,"Значну роль у розвитку української літератури відіграли письменниці , які мешкали у Варшаві . Євгенія Маланюк , Сергій Лівицький-Холодний 1929 року об'єдналися в групу « Танк » , згодом до неї увійшли Леоніда Мосендза , Тетяна Чирська , Тетяна Зайцева , Андрій Липа та інші .",187,e5e76a8efa0f.txt,"{'T249': ('письменники', 'JOB')}","{'T249': ('письменниці', 'JOB')}"
Виставу за п'єсою російського класика Льва Толстого поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисера Романа Мархоліа .,0,Виставу за п'єсою російської класикині Марії Толстої поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисерки Вікторії Мархоліі .,0,d07dfb774c28.txt,"{'T5': ('режисера', 'JOB')}","{'T5': ('режисерки', 'JOB')}"
"Віртуозні Лесь Задніпровський – князь Абрезков та Олег Стальчук – Слідчий , Геній .",63,"Віртуозні Ганна Задніпровська – княгиня Абрезкова та Олена Стальчук – Слідча , Генійка .",63,d07dfb774c28.txt,"{'T36': ('князь', 'JOB')}","{'T36': ('княгиня', 'JOB')}"
"Старша в Києві , одружена з військовим , чоловік нещодавно дістав підполковника , і донька дуже з цього тішиться .",56,"Старша в Києві , одружена з військовою , жінка нещодавно дістала підполковницю , і донька дуже з цього тішиться .",56,66395d7c394b.txt,"{'T17': ('військовим', 'JOB')}","{'T17': ('військовою', 'JOB')}"
"Ні , не так - автор статті , позаштатний кореспондент « Ровесника » , худий патлатий хлопчина в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії .",68,"Ні , не так - авторка статті , позаштатна кореспондентка « Ровесника » , худий патлатий хлопець в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії .",68,66395d7c394b.txt,"{'T22': ('позаштатний кореспондент', 'JOB')}","{'T22': ('позаштатна кореспондентка', 'JOB')}"
"І лектори в сірих піджаках із червоними партквитками , дбайливо захованими до внутрішніх кишень , і студенти разом з акторами обласного муздрамтеатру з початком навчального року починали колесити по клубах і школах області , розповідаючи про священиків , цих шуцманів у рясах , науковий атеїзм та релігію як знаряддя пропаганди буржуазного націоналізму .",79,"І лектори в сірих піджаках із червоними партквитками , дбайливо захованими до внутрішніх кишень , і студенти разом з акторами обласного муздрамтеатру з початком навчального року починали колесити по клубах і школах області , розповідаючи про священиць , цих шуцманок у рясах , науковий атеїзм та релігію як знаряддя пропаганди буржуазного націоналізму .",79,66395d7c394b.txt,"{'T29': ('священиків', 'JOB')}","{'T29': ('священиць', 'JOB')}"
"І геніальний український поет Тарас Шевченко , і не менш геніальний англійський драматург Вільям Шекспір були звичайними земними людьми : чуттєвими , вразливими , небайдужими до жіночої вроди ...",0,"І геніальна українська поетеса Тараса Шевченко , і не менш геніальна англійська драматургиня Вільяма Шекспіра були звичайними земними людьми : чуттєвими , вразливими , небайдужими до жіночої вроди ...",0,5207847a2e1d.txt,"{'T1': ('поет', 'JOB'), 'T3': ('драматург', 'JOB')}","{'T1': ('поетеса', 'JOB'), 'T3': ('драматургиня', 'JOB')}"
Поціновувачі красного слова вдало провели паралель між двома найвидатнішими письменниками України й Англії .,4,Поціновувачі красного слова вдало провели паралель між двома найвидатнішими письменницями України й Англії .,4,5207847a2e1d.txt,"{'T11': ('письменниками', 'JOB')}","{'T11': ('письменницями', 'JOB')}"
"В часи , коли талановитий драматург досягнув піку слави й популярності , при королівському дворі в Англії користувалася увагою кокетлива й вишукана Емілія Бассано Ланьєр .",17,"В часи , коли талановита драматургиня досягла піку слави й популярності , при королівському дворі в Англії користувався увагою кокетливий й вишуканий Григорій Бассано Ланьєр .",17,5207847a2e1d.txt,"{'T23': ('драматург', 'JOB')}","{'T23': ('драматургиня', 'JOB')}"
Потім був офіцер із підозрілим поглядом і відсутністю посмішки .,33,Потім була офіцерка із підозрілим поглядом і відсутністю посмішки .,33,1ed3fef56c8f.txt,"{'T5': ('офіцер', 'JOB')}","{'T5': ('офіцерка', 'JOB')}"
