inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн.","Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд надав слідчим доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ.","Суд надав слідчій доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором та засновником ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Андранік Мкртчян.","Директоркою та засновницею ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Валентина Мкртчян."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Співвласником цієї компанії у свою чергу з часткою в 75% є Іван Плачков, голова наглядової ради ПАТ «Київенерго», яке і проводило тендер.","Співвласницею цієї компанії у свою чергу з часткою в 75% є Марія Плачкова, голова наглядової ради ПАТ «Київенерго», яке і проводило тендер."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Одесит Іван Плачков почав працювати в компанії понад 20 років тому, з середини 90-х займає у ній керівні посади, у 1995-99 вперше стає головою правління «Київенерго».","Одеситка Іванна Плачкова почала працювати в компанії понад 20 років тому, з середини 90-х займає у ній керівні посади, у 1995-99 вперше стає головою правління «Київенерго»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 1999 очолив Міністерство енергетики України, потім – знову «Київенерго» у 2000-2005 р. р. ; у 2005-2006 міністр палива та енергетики України ; багаторазовий депутат Київської міськради, з 2008 – у фракції Кличка.","У 1999 очолила Міністерство енергетики України, потім – знову «Київенерго» у 2000-2005 р. р. ; у 2005-2006 міністерка палива та енергетики України ; багаторазова депутатка Київської міськради, з 2008 – у фракції Кличко."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Його син, Плачков Григорій Іванович, з серпня 2012 р. указом Президента призначений начальником відділу Департаменту стратегічної політики, інвестицій та ядерно-енергетичного комплексу Міністерства енергетики та вугільної промисловості України.","Її донька, Плачкова Олена Іванівна, з серпня 2012 р. указом Президентки призначена начальницею відділу Департаменту стратегічної політики, інвестицій та ядерно-енергетичного комплексу Міністерства енергетики та вугільної промисловості України."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишньому головному спеціалісту відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Олександру Тютюннику, який отримав $31 тис хабара.","Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишній головній спеціалістці відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Анжеліці Тютюнник, яка отримала $31 тис хабара."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В подальшому Тютюнник пообіцяв директору ПТ «АЯКС» Анатолію Лейку за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальника відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.",В подальшому Тютюнник пообіцяв директорці ПТ «АЯКС» Галині Лейко за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальницю відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У січні цього року чиновник у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримав $31 тис хабара.","У січні цього року чиновниця у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримала $31 тис хабара."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатра і нарколога не перебуває, має на утриманні малолітню дитину, визнав вину та щиро розкаявся і призначив йому штраф у розмірі 25,5 тис грн.","Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатрині і наркологині не перебуває, має на утриманні малолітню дитину, визнала вину та щиро розкаялась і призначив йому штраф у розмірі 25,5 тис грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовців в Кіровограді.",Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовиць в Кіровограді.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Про це на апаратній нараді повідомив заступник голови Кіровоградської облдержадміністрації Сергій Коваленко.",Про це на апаратній нараді повідомила заступниця голови Кіровоградської облдержадміністрації Оксана Коваленко.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Статутний фонд фірми складає 20,5 тис грн, вона вже співпрацювала з Міноборони декілька років тому, отримавши майже 34 млн грн на реконструкцію казарм прикордонників в Бортничах Київської області.","Статутний фонд фірми складає 20,5 тис грн, вона вже співпрацювала з Міноборони декілька років тому, отримавши майже 34 млн грн на реконструкцію казарми прикордонниць в Бортничах Київської області."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Конкурентами ТОВ «Київ-Інстал» на конкурсі з добудови будинку в Кіровограді були ТОВ «Саланг», яким володіють Оксана Гупало та Ірина Сулім, ТОВ «Кіровограджилстрой» Олексія Бондаренка і Петра Ларжевського, та ПП «Камелот – 3000» колишнього керівника міської організації Партії регіонів Олександра Кокоши.","Конкурентами ТОВ «Київ-Інстал» на конкурсі з добудови будинку в Кіровограді були ТОВ «Саланг», яким володіють Святослав Гупало та Ігор Сулім, ТОВ «Кіровограджилстрой» Галини Бондаренко і Петра Ларжевського, та ПП «Камелот – 3000» колишньої керівниці міської організації Партії регіонів Наталії Кокоши."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ТОВ «Вісті» очолює Олексій Ковальчук, який є головним редактором обласної дніпропетровської газети «Вісті Придніпров'я».","ТОВ «Вісті» очолює Любов Ковальчук, яка є головною редакторкою обласної дніпропетровської газети «Вісті Придніпров'я»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): > «Комунальники демонтують старі рейки на шпали, а на їхнє місце укладають > нові …","> «Комунальниці демонтують старі рейки на шпали, а на їхнє місце укладають > нові …"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): > «Це все виконується силами «Запоріжелектротрансу», що мені дуже приємно» – > підкреслив міський голова Володимир Буряк.","> «Це все виконується силами «Запоріжелектротрансу», що мені дуже приємно» – > підкреслила міська голова Валентина Буряк."
