,name,freq,sex
0,Олександр,0.0403679046364725,M
1,Володимир,0.0346339194446758,M
2,Марія,0.0328225243865022,F
3,Микола,0.0320379188695002,M
4,Тетяна,0.0310823245415751,F
5,Сергій,0.02906248389746,M
6,Олена,0.0286611587041005,F
7,Ганна,0.0278818572851668,F
8,Ольга,0.026217518801615,F
9,Наталія,0.0244312407439159,F
10,Валентина,0.0242934617841283,F
11,Людмила,0.0229780819174748,F
12,Іван,0.0228891516959106,M
13,Василь,0.0215405072966982,M
14,Світлана,0.0203235539921367,F
15,Галина,0.0202547100800957,F
16,Ірина,0.0189618407327354,F
17,Віктор,0.0187800432271233,M
18,Надія,0.0179076740255893,F
19,Анатолій,0.0168891049250664,M
20,Михайло,0.0157681357456857,M
21,Юрій,0.0155101852444402,M
22,Любов,0.0147474887510742,F
23,Андрій,0.0147449187241752,M
24,Катерина,0.0138192169077002,F
25,Ніна,0.0136854114646785,F
26,Оксана,0.0132322665090918,F
27,Ігор,0.0109633155271784,M
28,Петро,0.0107647125974461,M
29,Олексій,0.0105895497712047,M
30,Дмитро,0.0105805637906285,M
31,Лідія,0.0105168599323856,F
32,Віра,0.0103612912828569,F
33,Віталій,0.0101085172896919,M
34,Олег,0.0093809444972798,M
35,Юлія,0.0091228664060464,F
36,Олександра,0.0077021154365311,F
37,Валерій,0.0076144428877048,M
38,Лариса,0.0075950127552622,F
39,Вікторія,0.0071821862358509,F
40,Тамара,0.0065316777961286,F
41,Роман,0.0062887282320316,M
42,Марина,0.0061602268870782,F
43,Алла,0.0061278190301524,F
44,Григорій,0.0059708286636157,M
45,Павло,0.0058967900163532,M
46,Раїса,0.0057386877942077,F
47,Анастасія,0.0053883803688659,F
48,Леонід,0.0049888778896193,M
49,Євгенія,0.0049135451153367,F
50,Наталя,0.0046825707829608,F
51,Інна,0.0046757356050378,F
52,Антоніна,0.0046399739541444,F
53,Євген,0.004526692272033,M
54,Наталья,0.0043462800291466,F
55,Євгеній,0.0037989736624919,M
56,Степан,0.0035855520670225,M
57,Валентин,0.0034185185457242,M
58,Вячеслав,0.0033393580718046,M
59,Євдокія,0.0033327780738574,F
60,Максим,0.003325760624523,M
61,Руслан,0.0033064580820683,M
62,Борис,0.0031953089754689,M
63,Ярослав,0.0030416724028998,M
64,Геннадій,0.0030378082489807,M
65,Вадим,0.0029783695417618,M
66,Костянтин,0.0029212639086073,M
67,Зінаїда,0.0028345027168374,F
68,Богдан,0.002724210285871,M
69,Федір,0.002676418721833,M
70,Лілія,0.0026491326915642,F
71,Станіслав,0.0026258748594846,M
72,Софія,0.0025510888994359,F
73,Анна,0.0024590053824565,F
74,Зоя,0.002319257891427,F
75,Денис,0.002177432506309,M
76,Клавдія,0.0019528012190457,F
77,Владислав,0.0019452369554776,M
78,Георгій,0.0017966310738598,M
79,Антон,0.001732507991371,M
80,Яна,0.0017153927058517,F
81,Артем,0.0016667444661807,M
82,Леся,0.001665085796338,F
83,Варвара,0.0016132660341107,F
84,Аліна,0.0015742052706731,F
85,Альона,0.0013905485966659,F
86,Тарас,0.0012526055926081,M
87,Едуард,0.0012331572330244,M
88,Парасковія,0.0011316138297995,F
89,Ілля,0.0011190553295622,M
90,Ксенія,0.0011047652509178,F
91,Уляна,0.0011030518996517,F
92,Іванна,0.0010148325365915,F
93,Олеся,0.0009689001409486,F
94,Маргарита,0.0009505454098326,F
95,Ярослава,0.000945350674611,F
96,Віта,0.0009434003705103,F
97,Жанна,0.0009021523501374,F
98,Неля,0.0009011863116576,F
99,Мирослава,0.0008571313115508,F
100,Анжела,0.0008564569073291,F
101,Мар'яна,0.0008547071017808,F
102,Василина,0.000851043446414,F
103,Христина,0.0008253067231411,F
104,Стефанія,0.0008089752046903,F
105,Дарія,0.0007961250701949,F
106,Валерія,0.0007594520622451,F
107,Єлизавета,0.000749335998919,F
108,Єфросинія,0.0007454536178587,F
109,Йосип,0.0007263151196742,M
111,Поліна,0.000724018499892,F
112,Семен,0.000722305148626,M
113,Руслана,0.0006919751857887,F
114,Дар'я,0.0006827157980956,F
115,Майя,0.0006688084894149,F
116,Артур,0.0006591663317581,M
117,Пелагея,0.0006323724342997,F
118,Яків,0.0006264486134331,M
119,Параска,0.0006210533796591,F
120,В'ячеслав,0.0006031543270713,M
121,Діана,0.0005914160481848,F
122,Меланія,0.0005790033650765,F
123,Єлізавета,0.0005690878003028,F
124,Мирослав,0.000563564976541,M
125,Марфа,0.0005608855867951,F
126,Пелагія,0.0005525011018762,F
127,Мотрона,0.000541947587163,F
128,Єва,0.0005145339669063,F
129,Ростислав,0.0005110708100919,M
130,Таїсія,0.0004875031166132,F
132,Діна,0.0004726844508761,F
133,Неоніла,0.0004541292212076,F
134,Степанія,0.0004478408575184,F
135,Марта,0.0004442683378573,F
136,Аркадій,0.0004380711098737,M
137,Ліна,0.0004260594238703,F
138,Емілія,0.0004231430812898,F
140,Анжеліка,0.0004009241962546,F
141,Генадій,0.0003931958884162,M
142,Таїса,0.0003895686873317,F
143,Мирон,0.0003655088610426,M
144,Вероніка,0.0003651078639378,F
145,Таміла,0.0003613166185831,F
